,compset_id,hellodata_id,property,comp,lat,lon,zip
77,62979,f240d33c-1e94-5e7b-8d81-5d8090658373,Cortland on McKinney,Gables Park 17,32.78892,-96.80531,75202
78,62979,7f651dfd-f545-5046-8ff6-e6252d0885ec,Cortland on McKinney,The Ashton,32.7947,-96.8055,75201
79,62979,7486df5b-377e-59f7-bb04-6dacee782ba5,Cortland on McKinney,Cirque Residences,32.78983,-96.8088,75219
80,62979,429e6567-9b79-58b2-b0af-65156b5c4f96,Cortland on McKinney,The Jordan by Windsor,32.7932,-96.80148,75201
81,62979,adb137e3-0c34-58f6-a1c7-d9bbb031b746,Cortland on McKinney,Azure,32.79626,-96.80887,75201
82,62979,871ec8e9-709d-5279-9749-9578be955ff5,Cortland on McKinney,Ascent Victory Park,32.79077,-96.80902,75219
83,62979,50e5935e-623c-5b11-b1af-75647d09c5a4,Cortland on McKinney,The 23,32.78687,-96.80986,75219
84,62979,691498e9-cee9-5943-984d-cf1044b89d30,Cortland on McKinney,The Victor,32.78851,-96.81017,75219
85,62979,78e762f2-ac9f-5282-a45c-c763033d1eb6,Cortland on McKinney,Glass House by Windsor,32.79471,-96.80697,75201
86,62979,865f67bb-6644-5e6f-bb72-bb4dbd986472,Cortland on McKinney,Residences at The Grove,32.80363,-96.79772,75204
87,111966,74f1fa92-5f95-596d-8742-6665c826ea34,Cortland Phillips Creek Ranch,Cortland Phillips Creek Ranch,33.13078,-96.88983,75036
88,111966,54227a5e-b433-596d-ac97-79a6a553a92f,Cortland Phillips Creek Ranch,4 Corners,33.15751,-96.89361,75033
89,111966,ed2705a8-f104-54d7-8f2e-2677c6689df4,Cortland Phillips Creek Ranch,Sorrel Phillips Creek Ranch Apartments,33.12086,-96.89064,75036
90,111966,cef09cd4-e7dd-5fe1-ba1e-7f62afc92e00,Cortland Phillips Creek Ranch,Palermo by the Park,33.16011,-96.89206,75033
91,111966,85d839d4-5029-556f-914b-7b974b10f515,Cortland Phillips Creek Ranch,Bell Frisco Market Center,33.15737,-96.84371,75033
92,111966,2ea6a5b2-f591-545a-8778-eb0259e417b6,Cortland Phillips Creek Ranch,Alaqua at Frisco Apartments,33.1182,-96.87109,75034
93,111966,9e701458-ea94-5093-a517-aa962cfbc948,Cortland Phillips Creek Ranch,Orion McCord Park Apartments,33.16453,-96.89187,75068
94,111966,931a0535-cc37-543c-b244-4c92ff2938da,Cortland Phillips Creek Ranch,The Kathryn,33.14458,-96.85143,75034
95,111966,b54c9fc5-e611-5809-bcc8-42db127ded02,Cortland Phillips Creek Ranch,The Margo,33.14149,-96.84951,75034
96,111966,30de6eab-96d8-5781-b9b1-01582225c8d6,Cortland Phillips Creek Ranch,The Maxwell,33.14335,-96.84893,75034
97,111966,96d03ea9-788c-5342-b5aa-008e790d6191,Cortland Phillips Creek Ranch,Newman Village Apartments,33.17802,-96.84928,75033
98,111966,7be4da01-06db-5300-9556-114ab9ce4627,Cortland Phillips Creek Ranch,Satori Frisco,33.17569,-96.82482,75033
99,111966,f8f2d799-0146-59ce-aabd-87c60dc31829,Cortland Phillips Creek Ranch,Kilby,33.14848,-96.83736,75034
100,64358,5a345608-6817-55eb-9b3d-76d6c49069fb,Huntington Glen,Huntington Glen,32.85136,-97.11837,76021
101,64358,250da8df-9e66-5236-aeba-f8df76ef906b,Huntington Glen,Windmill Terrace,32.8436,-97.12274,76021
102,64358,7d3d9d53-f577-5c6b-bb59-324bba2b4661,Huntington Glen,Woodbridge Apartments,32.8486,-97.11665,76021
103,64358,7685c1e2-2998-53b6-9a71-600eaba7b4b6,Huntington Glen,Copper Canyon,32.85162,-97.12872,76021
104,64358,f6094793-4886-526f-b319-7e61a5bfd021,Huntington Glen,Summerstone Apartments,32.84193,-97.12863,76021
105,64358,ca87270d-3c84-50de-a5b3-ed2c01b6abd2,Huntington Glen,Kensington Station,32.842,-97.12559,76021
106,64358,f29f5bbd-a064-57be-bcb3-51cd5cd19bcf,Huntington Glen,Pecan Creek,32.84619,-97.13304,76021
107,64358,6f268873-fe22-5899-9e05-d0f8654ee2db,Huntington Glen,Arbors of Central Park,32.83127,-97.12246,76022
108,64358,97648651-d0d9-50b7-9f19-33ff1099a959,Huntington Glen,Cortland Bear Creek,32.85534,-97.06571,76039
109,64358,fb743e4d-7958-5949-adad-27b5cb5ce7ad,Huntington Glen,Canopy on Central,32.84885,-97.13263,76021
110,111957,6691ec72-c886-59a8-95e9-05276479ae4c,Cortland Legacy,Cortland Legacy,33.08854,-96.84209,75034
111,111957,405c9a9c-a2e9-5664-8e5d-125a01341c4a,Cortland Legacy,Bell Stonebriar,33.08936,-96.84519,75034
112,111957,1e557aa9-af1b-5bb4-a214-127da80cb418,Cortland Legacy,Ravello Stonebriar,33.08819,-96.84305,75034
113,111957,97d27cac-2c97-5ca6-8681-360c7d736a69,Cortland Legacy,Windsor Castle Hills,33.04524,-96.88351,75010
114,111957,5cc71dee-505e-5242-ba95-81d6fd75da18,Cortland Legacy,Avenues at Carrollton,33.03968,-96.86946,75010
115,111957,2ea6a5b2-f591-545a-8778-eb0259e417b6,Cortland Legacy,Alaqua at Frisco Apartments,33.1182,-96.87109,75034
116,111957,7b517738-5605-5b0d-b7a9-6597322ca30e,Cortland Legacy,Domain at The Gate,33.11753,-96.82885,75034
117,111957,45d26cd7-3be5-5a8a-8ce4-4ec4da13cd89,Cortland Legacy,The Atlantic Stonebriar,33.08107,-96.86758,75056
118,111957,c85e57c7-4658-50d6-b9ed-2d115e1ec8bf,Cortland Legacy,Lucia,33.1201,-96.82457,75034
119,111957,c59cb343-37d2-592f-b29d-067ce9570e5b,Cortland Legacy,AMLI at the Ballpark,33.09829,-96.81803,75034
120,111957,aca6e279-225c-5769-9e26-3ff13697724a,Cortland Legacy,Cortland at Stonebriar,33.10447,-96.7978,75035
121,111957,8dcb95bc-ec53-558d-8ae4-c3f17b84fa4e,Cortland Legacy,MAA Frisco Bridges,33.1059,-96.81866,75034
122,111957,a9ec0244-b9b0-5bf7-98c6-9d06cf22fa06,Cortland Legacy,Flatiron District at Austin Ranch,33.05702,-96.8479,75056
123,127311,eabfe15e-da53-51f8-b35f-5fa8c4d78aa1,Cortland at Ten Mile,Cortland at Ten Mile,43.60754,-116.44183,83642
124,127311,637e8ff7-a446-57a8-8643-43c087ae00bb,Cortland at Ten Mile,Cortland South Meridian,43.58943,-116.41808,83642
125,127311,a9dcd7f2-62b3-5918-b03e-71b9350d4c99,Cortland at Ten Mile,The Station Apartments at Gateway,43.59352,-116.51389,83687
126,127311,c87978c8-612b-55b4-8415-8527aa9db1bf,Cortland at Ten Mile,Prelude at Paramount,43.6489,-116.39738,83646
127,127311,391bd24a-6222-514e-bd4d-93fdc2bbaf3d,Cortland at Ten Mile,The Lofts at Ten Mile,43.6023,-116.43272,83642
128,127311,aaa72ed4-6c57-5c40-8ab0-b62b12a1824a,Cortland at Ten Mile,Seasons at Meridian,43.59203,-116.36085,83642
129,127311,4ab7c88f-8091-5cdb-ab13-4819a1c72353,Cortland at Ten Mile,The 240 Apartments,43.60337,-116.44007,83642
130,127311,afe2d5ce-0664-5398-9049-377d4f11c53c,Cortland at Ten Mile,The Regency at River Valley,43.62709,-116.35255,83646
131,127311,468aaff5-1c33-53e9-9415-5dcdadd96766,Cortland at Ten Mile,Laguna Farms,43.61734,-116.50987,83687
132,127311,1e2bd29f-2f14-5826-b854-8bdf8bde71c3,Cortland at Ten Mile,The Flats at Ten Mile,43.60184,-116.42741,83642
133,127311,5033a097-b952-5946-8e46-9f2eb5c6bbd2,Cortland at Ten Mile,SouthRidge Apartments,43.58928,-116.4229,83642
134,109988,b71072bd-762c-52e9-b822-07b54a153ea0,Cortland at Buckhead Village,Cortland at Buckhead Village,33.83671,-84.38104,30305
135,109988,e7c32c75-85c2-5151-a8fc-7570bc87c1a7,Cortland at Buckhead Village,The Ashley Gables Buckhead,33.83906,-84.37128,30305
136,109988,d1e15dc5-c9f9-5207-82e0-ca200822bf6f,Cortland at Buckhead Village,The Irby,33.84143,-84.38127,30305
137,109988,076e4117-46dd-5ef3-8851-9a01a0256df6,Cortland at Buckhead Village,AMLI Lenox,33.84826,-84.35709,30326
138,109988,916df0ff-a913-5815-97ca-2f32a4b7116a,Cortland at Buckhead Village,Eclipse Buckhead,33.83734,-84.37884,30305
139,109988,cae58290-3764-5b57-a9db-2206c15cc5ba,Cortland at Buckhead Village,Elle of Buckhead,33.83686,-84.38019,30305
140,109988,e3dc4338-2672-5132-87fe-f8496c7eb794,Cortland at Buckhead Village,The Residence Buckhead Atlanta,33.83897,-84.37844,30305
141,109988,daf30f2e-30d6-5d8a-baed-40cd2fbfe67e,Cortland at Buckhead Village,The Bryant at Buckhead Village,33.83746,-84.37412,30305
142,109988,fb8db3d2-7b2e-5d7b-8eca-acb5bd8078fe,Cortland at Buckhead Village,92 West Paces,33.83962,-84.38412,30305
143,109988,792374ca-941d-5433-b8a6-d9e3ba1608b2,Cortland at Buckhead Village,AMLI 3464,33.84909,-84.35591,30326
144,109988,aacc8213-c620-5e92-9e7b-05e9d66b3140,Cortland at Buckhead Village,Hanover Buckhead Village,33.84088,-84.37966,30305
145,109988,6871cf0c-b75a-5ef6-a26a-9589700fb1f2,Cortland at Buckhead Village,Skyhouse Buckhead,33.84986,-84.36746,30326
146,109988,55903a47-6c1d-5038-bccd-e38e4497fd08,Cortland at Buckhead Village,Modera Old Ivy,33.85034,-84.37424,30305
147,27147,637e8ff7-a446-57a8-8643-43c087ae00bb,Cortland South Meridian,Cortland South Meridian,43.58943,-116.41808,83642
148,27147,eabfe15e-da53-51f8-b35f-5fa8c4d78aa1,Cortland South Meridian,Cortland at Ten Mile,43.60754,-116.44183,83642
149,27147,391bd24a-6222-514e-bd4d-93fdc2bbaf3d,Cortland South Meridian,The Lofts at Ten Mile,43.6023,-116.43272,83642
150,27147,4ab7c88f-8091-5cdb-ab13-4819a1c72353,Cortland South Meridian,The 240 Apartments,43.60337,-116.44007,83642
151,27147,1e2bd29f-2f14-5826-b854-8bdf8bde71c3,Cortland South Meridian,The Flats at Ten Mile,43.60184,-116.42741,83642
152,27147,c87978c8-612b-55b4-8415-8527aa9db1bf,Cortland South Meridian,Prelude at Paramount,43.6489,-116.39738,83646
153,27147,3f263958-36d7-5a5a-a979-fa1c21459b89,Cortland South Meridian,Altair,43.60339,-116.42745,83642
154,27147,c04b222f-50a8-5f3b-99ad-e517820cfc70,Cortland South Meridian,Dovetail,43.61719,-116.3662,83642
155,27147,16e5b15e-d864-574d-bf4e-17a4fc36448e,Cortland South Meridian,Red Tail by Baron,43.57486,-116.39049,83642
156,27147,160deadc-4a75-562a-894a-9f529131482d,Cortland South Meridian,Pennwood Apartments,43.6,-116.39716,83642
157,26375,26e6835d-611d-51ba-be26-aa919c6cd172,Cortland at Twin Creeks,Cortland at Twin Creeks,33.10837,-96.68851,75013
158,26375,6c9f630d-5f40-54c9-88c6-5e077d3f089b,Cortland at Twin Creeks,Benton Pointe,33.10371,-96.68948,75013
159,26375,a9e6c113-cbed-5229-94f2-08668f39093e,Cortland at Twin Creeks,Auberry at Twin Creeks,33.11181,-96.68794,75013
160,26375,295470c1-97f2-5242-b066-91e2d821d213,Cortland at Twin Creeks,DeLayne at Twin Creeks,33.11407,-96.68873,75013
161,26375,cb4cfa92-3a75-55fe-82a1-1d549e4c61cc,Cortland at Twin Creeks,The Carson at Twin Creeks,33.1055,-96.67981,75013
162,26375,72d9fe0f-19d5-5bc0-9609-8c35a000d50c,Cortland at Twin Creeks,Twin Creeks Crossing,33.11609,-96.68843,75013
163,26375,485d7f4f-d4b0-5951-b268-e5c55f930105,Cortland at Twin Creeks,Axis at Watters Creek,33.09883,-96.68616,75013
164,26375,1c2e25b2-f4a7-5783-8035-dfcfebc0ec5c,Cortland at Twin Creeks,The Gates of Allen Station,33.11748,-96.65587,75002
165,26375,33d1f151-4663-5bf7-95b0-4dabda16cc0d,Cortland at Twin Creeks,Mission Eagle Pointe,33.09609,-96.65853,75002
166,26375,7492f5c3-5782-52b6-ae96-4dda703a38dc,Cortland at Twin Creeks,Emerson at Ford Park,33.0986,-96.65828,75002
