hellodata_id,hellodata_property,oslPropertyID,ParentAssetName
4a632f76-ed35-5f66-9e12-5d164c0094de,Cortland Congress Park,4840650,Cortland Congress Park
67f5a628-e50b-5219-85d8-3f9768d99b2c,Cortland Covington Ridge,4840653,Cortland Covington Ridge
50db4ef0-c70e-5852-b350-0ffc49653d11,Cortland Kings Meadow,4840661,Cortland Kings Meadow
06dca7b7-7f64-51d0-b4ea-3c1cee15be08,Cortland Pembroke Pines,4840667,Cortland Pembroke Pines
e5e331c1-b090-5053-81f8-2bb11a0ba5a8,Cortland West Houston,4840668,Cortland West Houston
2d2a3c48-4ec2-5cf0-967f-a648c39b0620,Cortland West Plano,4840670,Cortland West Plano
e3b05d27-fa3a-5ab0-a999-de2e2e11fe17,Cortland Westminster,4840694,Cortland Westminster
5a345608-6817-55eb-9b3d-76d6c49069fb,Huntington Glen,4840726,Huntington Glen
faa6115a-25d5-5766-a6ad-045a579c693a,The Overlook at Daytona,4840727,The Overlook at Daytona
f86ec099-d983-5d01-a9c1-45d5cdd23c61,Cortland North Tucson,4845197,Cortland North Tucson
8eb55713-dde2-573d-9163-ed81b341ff40,Cortland Arboretum,4855971,Cortland Arboretum
ed0585b2-905e-53f4-8792-0ff8ea5829ba,Cortland at P83,4857240,Cortland at P83
d502f78c-7972-5f09-affb-432a8cf93a93,Cortland Dublin,4870578,Cortland Dublin
4df8b0e6-1e50-5b09-b1ec-466d15712bac,Cortland Hilliard,4870580,Cortland Hilliard
620d8eac-30c5-5d28-8f7a-df3d026aaa20,Cortland at the Hammocks,4870693,Cortland at the Hammocks
ea6d676e-9634-5032-a31e-fd4345424d63,Cortland Sabino Canyon,4874081,Cortland Sabino Canyon
48a334af-00f1-552d-93cd-9a961b59d8f4,Cortland Sun River,4874084,Cortland Sun River
168e303c-e90f-5c34-9032-2964b0f4b3b1,Cortland M-Line,4884523,Cortland M-Line
4c6f51f8-a866-5cd1-873d-2a31515ddfbd,Cortland Independence,4899099,Cortland Independence
637e8ff7-a446-57a8-8643-43c087ae00bb,Cortland South Meridian,4904462,Cortland South Meridian
76bcd0ee-b64a-508e-bc87-8d84c90bb208,Cortland Mallard Creek,4904463,Cortland Mallard Creek
25f20d89-2e70-5c00-ad20-94311ad6f6e3,Cortland Nona,4905203,Cortland Nona
581eee72-a210-5e56-93d9-913731f30e58,Cortland Las Casas,4909321,Cortland Las Casas
6a655457-60a3-54fd-b0de-8d4e0b12ba8b,Cortland Satori,4910056,Cortland Satori
88c909ea-1eaf-5e12-8c16-962de8e5c2de,Cortland Bluff Springs,4920289,Cortland Bluff Springs
fbd17aae-d9ba-5f73-9d74-46be304a48a2,Cortland Riverview,4922970,Cortland Riverview
78b169e6-03c6-523f-806a-3f3036380e76,Cortland at the Nations,4922971,Cortland at the Nations
c953cda8-6d2a-56bc-9e90-949a1ef36396,Cortland ChampionsGate,4922982,Cortland ChampionsGate
9d532859-49e7-5fba-a8a4-77f5e0fee939,Cortland Chisholm Trail,4943147,Cortland Chisholm Trail
8bcf06c7-e686-50c5-bbe1-3caf04b47a29,Cortland Santos Flats,4943172,Cortland Santos Flats
dcbdd5e9-7d60-58ed-bd77-ad7866782d90,Cortland West Palm,4953868,Cortland West Palm
103e0e44-bc89-50dc-a5b8-f47f66243d21,Perimeter 5550,4971380,Perimeter 5550
eabfe15e-da53-51f8-b35f-5fa8c4d78aa1,Cortland at Ten Mile,4971381,Cortland at Ten Mile
1f2b0646-d052-50d5-8a92-a7549ebaec0a,Tramore Village,4971384,Tramore Village
ea423d66-fe47-58dd-ba10-89e9babc4614,Perimeter Circle,4971387,Perimeter Circle
0fc10321-53a5-5337-9ec1-627777c8e123,Heritage District,4971388,Heritage District
0362d500-70da-5e09-ab30-c413decbf7dc,The Terraces at Lake Mary,4971397,The Terraces at Lake Mary
00fde857-a768-59db-99bf-22326284f87a,The Addison at Sandy Springs,4971398,The Addison at Sandy Springs
5781f199-8e93-5634-81e9-b2d4e689fe03,Providence in the Park,4971399,Providence in the Park
ce384b45-5568-58a5-90a1-555602626977,The Palmer at Las Colinas,4971400,The Palmer at Las Colinas
0f541a20-9894-5b3a-88d1-a9a08dc6d424,Indigo Creek,4971401,Indigo Creek
84a783af-71ad-5cd8-be85-64346cab45ce,Cortland Pentagon City,4971410,Cortland Pentagon City
d65312a2-ab52-5fbd-b19a-001b593b5642,Cortland River Place,4971411,Cortland River Place
0e08c80f-fe6a-58ed-b823-ee9ee3ff271d,1000 Spalding,4971415,1000 Spalding
66ab0d00-c79e-56e3-ac86-eebb6e9478c1,Cortland Uptown Buckhead,4971417,Cortland Uptown Buckhead
b0496258-427a-590a-ab2c-19970dd08045,Winthrop West,4971418,Winthrop West
bd5dd7d3-edcd-554c-9ec4-0bb71eab1cf7,Cortland Rockrimmon,4986175,Cortland Rockrimmon
f3da1c0f-3e05-57b1-bd4f-b33dc0353c58,Cortland Scottsdale Mountain,4986176,Cortland Scottsdale Mountain
aa283c98-eed0-5afd-a608-04c6b381cb69,Cortland Alameda Station,4988090,Cortland Alameda Station
e713c71d-804b-5be0-826e-8c0dbddf0320,Cortland Arlington,4988091,Cortland Arlington
e178163f-1d2f-51cc-86a8-8541be5f1e31,Cortland at West Village,4988098,Cortland at West Village
036ac72c-0f5c-53e1-b4f5-ebd313e0baef,Cortland Brier Creek,4988099,Cortland Brier Creek
4004a152-794a-5754-a054-91e5bd383b6b,Cortland Mill District,4988100,Cortland Mill District
db56dc40-ba4c-5d55-9e62-acadd72ac9e1,Cortland on Ponce,4988101,Cortland on Ponce
70bc01b1-f2e6-5970-8f22-76cd461a7adb,Cortland on the River,4988126,Cortland on the River
30cebca6-efd2-5222-adfc-b9d1a5681f6f,Cortland River North,4988127,Cortland River North
21fbe583-5d37-5ac4-b776-b3d1b45f1931,Mint Urban Infinity,4988129,Mint Urban Infinity
2070286c-2b6f-5dd1-8f85-46cd3b8d00d9,Cortland Uptown Altamonte,5000424,Cortland Uptown Altamonte
4a96c241-3646-54e8-a791-09ab85f1b0f1,Cortland Rosslyn,5000432,Cortland Rosslyn
f3b2238e-f1f2-5331-b43a-280dbe3a652d,Cortland Powers North II,5052064,Cortland Powers North
7b8fff9a-0241-5519-baca-2d5a99d3d4d2,Cortland Midtown Miami,5075112,Cortland Midtown Miami
c385355d-3a55-5a86-96b1-df0e4d8037c5,Cortland South Kendall,5076050,Cortland South Kendall
66ed6f90-bcc4-5361-9b28-dc2bf4955b25,Cortland Benbrook,5205352,Cortland Benbrook
